vi vj e
0 118 0
0 119 0
0 120 1
0 121 1
0 122 0
0 123 1
0 124 0
0 125 0
0 126 0
0 127 0
0 128 0
0 129 0
0 130 0
0 131 1
0 132 1
0 133 1
0 134 0
0 135 1
0 136 1
0 137 1
0 138 0
0 139 1
0 140 0
0 141 1
0 142 1
0 143 1
0 144 1
0 145 0
0 146 1
0 147 1
0 148 0
0 149 1
0 150 1
0 151 1
0 152 1
0 153 0
0 154 1
0 155 1
0 156 1
0 157 0
0 158 1
0 159 1
0 160 1
0 161 1
0 162 1
0 163 0
0 164 1
0 165 1
0 166 0
0 167 0
0 168 0
0 169 1
0 170 1
0 171 1
0 172 1
0 173 1
0 174 1
0 175 1
0 176 0
0 177 0
0 178 1
0 179 1
0 180 0
0 181 1
0 182 0
0 183 1
0 184 0
0 185 0
0 186 0
0 187 0
0 188 1
0 189 0
0 190 0
0 191 1
0 192 0
0 193 0
0 194 0
0 195 0
0 196 0
0 197 0
0 198 0
0 199 1
0 200 0
0 201 1
0 202 1
0 203 1
0 204 0
0 205 0
0 206 1
0 207 1
0 208 0
0 209 0
0 210 1
0 211 1
0 212 1
0 213 0
0 214 0
0 215 0
0 216 0
0 217 0
0 218 0
0 219 1
0 220 0
0 221 0
0 222 0
0 223 0
0 224 0
0 225 1
0 226 1
0 227 0
0 228 1
0 229 1
0 230 0
0 231 1
0 232 1
0 233 1
0 234 1
0 235 0
0 236 1
0 237 1
0 238 1
0 239 0
0 240 0
0 241 1
0 242 0
0 243 1
0 244 0
0 245 0
0 246 1
0 247 1
0 248 0
0 249 0
0 250 0
0 251 1
0 252 1
0 253 1
0 254 0
0 255 1
0 256 0
0 257 1
0 258 1
0 259 0
0 260 1
0 261 0
0 262 0
0 263 0
0 264 0
0 265 1
0 266 0
0 267 0
0 268 0
0 269 0
0 270 0
0 271 1
0 272 0
0 273 0
0 274 1
0 275 1
0 276 1
0 277 0
0 278 1
0 279 0
0 280 0
0 281 0
0 282 0
0 283 0
0 284 1
0 285 1
0 286 1
0 287 1
0 288 0
0 289 0
0 290 0
0 291 0
0 292 1
0 293 0
0 294 1
0 295 0
0 296 0
0 297 0
0 298 0
0 299 1
0 300 0
0 301 1
0 302 0
0 303 1
0 304 0
0 305 1
0 306 1
0 307 1
0 308 1
0 309 0
0 310 1
0 311 0
0 312 0
0 313 0
0 314 1
0 315 0
0 316 1
0 317 1
0 318 0
0 319 0
0 320 0
0 321 1
0 322 1
0 323 0
0 324 1
0 325 0
0 326 1
0 327 1
0 328 1
0 329 1
0 330 0
0 331 1
0 332 1
0 333 0
0 334 1
0 335 1
0 336 0
0 337 1
0 338 1
0 339 0
0 340 1
0 341 1
0 342 1
0 343 0
0 344 0
0 345 0
0 346 0
0 347 0
0 348 1
0 349 0
0 350 1
0 351 1
0 352 1
0 353 0
0 354 1
0 355 0
0 356 0
0 357 0
0 358 0
0 359 1
0 360 0
0 361 0
0 362 1
0 363 1
0 364 1
0 365 1
0 366 0
0 367 0
0 368 0
0 369 0
0 370 0
0 371 1
0 372 1
0 373 0
0 374 0
0 375 1
0 376 0
0 377 0
0 378 1
0 379 1
0 380 1
0 381 0
0 382 0
0 383 1
0 384 0
0 385 1
0 386 0
0 387 0
0 388 0
0 389 1
0 390 0
0 391 1
0 392 0
0 393 1
0 394 1
0 395 1
0 396 1
0 397 1
0 398 1
0 399 1
0 400 0
0 401 1
0 402 1
0 403 0
0 404 0
0 405 0
0 406 0
0 407 0
0 408 0
0 409 0
0 410 0
0 411 1
0 412 1
0 413 0
0 414 1
0 415 0
0 416 0
0 417 0
0 418 1
0 419 1
0 420 1
0 421 0
0 422 0
0 423 0
0 424 0
0 425 0
0 426 1
0 427 1
0 428 1
0 429 0
0 430 1
0 431 1
0 432 0
0 433 1
0 434 1
0 435 0
0 436 1
0 437 0
0 438 1
0 439 1
0 440 1
0 441 1
0 442 1
0 443 0
0 444 1
0 445 1
0 446 1
0 447 1
0 448 1
0 449 0
0 450 1
0 451 0
0 452 1
0 453 1
0 454 0
0 455 1
0 456 1
0 457 0
0 458 0
0 459 0
0 460 1
0 461 1
0 462 0
0 463 0
0 464 1
0 465 0
0 466 1
0 467 0
0 468 1
0 469 0
0 470 0
0 471 0
0 472 0
0 473 0
0 474 0
0 475 0
0 476 0
0 477 0
0 478 0
0 479 0
0 480 0
0 481 0
0 482 0
0 483 1
0 484 0
0 485 0
0 486 0
0 487 0
0 488 1
0 489 1
0 490 1
0 491 1
0 492 0
0 493 0
0 494 0
0 495 0
0 496 0
0 497 1
0 498 1
0 499 0
0 500 1
0 501 0
0 502 0
0 503 1
0 504 1
0 505 1
0 506 1
0 507 0
0 508 1
0 509 1
0 510 0
0 511 0
0 512 0
0 513 1
0 514 1
0 515 0
0 516 1
0 517 0
0 518 1
0 519 1
0 520 0
0 521 1
0 522 1
0 523 0
0 524 0
0 525 1
0 526 0
0 527 0
0 528 0
0 529 0
0 530 0
0 531 1
0 532 0
0 533 0
0 534 0
0 535 0
0 536 0
0 537 0
0 538 1
0 539 1
0 540 0
0 541 0
0 542 1
0 543 1
0 544 1
0 545 0
0 546 1
0 547 0
0 548 1
0 549 1
0 550 1
0 551 0
0 552 1
0 553 0
0 554 0
0 555 1
0 556 0
0 557 1
0 558 0
0 559 1
0 560 1
0 561 0
0 562 1
0 563 0
0 564 1
0 565 1
0 566 1
0 567 0
0 568 0
0 569 0
0 570 0
0 571 0
0 572 1
0 573 0
0 574 1
0 575 1
0 576 1
0 577 0
0 578 1
0 579 1
0 580 1
0 581 1
0 582 0
0 583 1
0 584 1
0 585 1
0 586 1
0 587 0
0 588 0
0 589 0
0 590 0
0 591 0
0 592 1
0 593 1
0 594 1
0 595 0
0 596 0
0 597 1
0 598 1
0 599 1
0 600 0
0 601 1
0 602 0
0 603 0
0 604 1
0 605 1
0 606 0
0 607 1
0 608 0
0 609 0
0 610 0
0 611 1
0 612 1
0 613 0
0 614 1
0 615 0
0 616 1
0 617 0
0 618 0
0 619 1
0 620 0
0 621 1
0 622 1
0 623 0
0 624 0
0 625 1
0 626 1
0 627 0
0 628 0
0 629 0
0 630 0
0 631 0
0 632 1
0 633 0
0 634 1
0 635 0
0 636 1
0 637 0
0 638 0
0 639 0
0 640 0
0 641 1
0 642 1
0 643 0
0 644 1
0 645 1
0 646 0
0 647 0
0 648 0
0 649 0
0 650 1
0 651 1
0 652 1
0 653 0
0 654 0
0 655 1
0 656 0
0 657 0
0 658 1
0 659 1
0 660 1
0 661 1
0 662 0
0 663 0
0 664 1
0 665 0
0 666 0
0 667 0
0 668 0
0 669 1
0 670 0
0 671 0
0 672 1
0 673 0
0 674 1
0 675 0
0 676 0
0 677 0
0 678 0
0 679 1
0 680 1
0 681 0
0 682 1
0 683 1
0 684 1
0 685 0
0 686 0
0 687 0
0 688 0
0 689 0
0 690 1
0 691 0
0 692 0
0 693 0
0 694 0
0 695 0
0 696 0
0 697 1
0 698 0
0 699 0
0 700 0
0 701 1
0 702 0
0 703 1
0 704 0
0 705 1
0 706 1
0 707 0
0 708 0
0 709 1
0 710 1
0 711 0
0 712 0
0 713 1
0 714 0
0 715 1
0 716 1
0 717 1
0 718 0
0 719 0
0 720 0
0 721 0
0 722 0
0 723 0
0 724 1
0 725 0
0 726 1
0 727 1
0 728 0
0 729 1
0 730 0
0 731 0
0 732 0
0 733 1
0 734 0
0 735 1
0 736 1
0 737 1
0 738 1
0 739 0
0 740 1
0 741 1
0 742 0
0 743 0
0 744 0
0 745 1
0 746 0
0 747 0
0 748 1
0 749 0
0 750 0
0 751 0
0 752 0
0 753 1
0 754 1
0 755 1
0 756 1
0 757 0
0 758 0
0 759 1
0 760 1
0 761 1
0 762 1
0 763 0
0 764 1
0 765 0
0 766 1
0 767 0
0 768 1
0 769 0
0 770 0
0 771 0
0 772 0
0 773 1
0 774 0
0 775 0
0 776 1
0 777 1
0 778 1
0 779 1
0 780 0
0 781 0
0 782 1
0 783 1
0 784 1
0 785 0
0 786 1
0 787 0
0 788 1
0 789 0
0 790 1
0 791 1
0 792 1
0 793 0
0 794 1
0 795 1
0 796 1
0 797 0
0 798 0
0 799 0
0 800 1
0 801 0
0 802 0
0 803 0
0 804 1
0 805 0
0 806 1
0 807 0
0 808 1
0 809 1
0 810 0
0 811 1
0 812 0
0 813 1
0 814 1
0 815 1
0 816 0
0 817 1
0 818 0
0 819 0
0 820 0
0 821 1
0 822 0
0 823 0
0 824 1
0 825 0
0 826 1
0 827 1
0 828 0
0 829 1
0 830 1
0 831 0
0 832 1
0 833 1
0 834 0
0 835 1
0 836 1
0 837 1
0 838 0
0 839 0
0 840 0
0 841 0
0 842 1
0 843 0
0 844 0
0 845 0
0 846 0
0 847 0
0 848 1
0 849 0
0 850 1
0 851 1
0 852 0
0 853 0
0 854 1
0 855 0
0 856 0
0 857 0
0 858 0
0 859 0
0 860 0
0 861 1
